timestamp_ms,track_id,class,x_min,y_min,x_max,y_max
0.0,1,person,1690,1211,1904,1605
0.0,2,person,3189,1342,3437,1748
0.0,3,car,2292,1912,3528,2143
0.0,5,person,68,1223,257,1687
0.0,6,person,976,1244,1175,1697
0.0,7,person,204,1100,353,1416
0.0,9,person,3599,1174,3700,1431
0.0,10,person,1039,1245,1181,1702
0.0,11,person,3435,1166,3550,1411
0.0,12,car,1857,948,1966,1056
0.0,13,person,3005,1063,3083,1214
33.36666666666667,1,person,1687,1212,1902,1606
33.36666666666667,2,person,3189,1345,3444,1750
33.36666666666667,3,car,2293,1913,3526,2144
33.36666666666667,5,person,58,1221,255,1691
33.36666666666667,6,person,976,1240,1167,1695
33.36666666666667,7,person,214,1097,356,1421
33.36666666666667,9,person,3601,1174,3699,1430
33.36666666666667,12,car,1857,948,1967,1056
66.73333333333333,1,person,1696,1206,1890,1602
66.73333333333333,2,person,3203,1347,3456,1746
66.73333333333333,3,car,2293,1913,3525,2143
66.73333333333333,5,person,46,1218,251,1705
66.73333333333333,6,person,972,1239,1158,1696
66.73333333333333,7,person,218,1100,362,1418
66.73333333333333,9,person,3602,1175,3700,1431
66.73333333333333,12,car,1857,947,1967,1056
66.73333333333333,13,person,2996,1060,3078,1215
100.10000000000001,1,person,1700,1205,1882,1595
100.10000000000001,2,person,3216,1348,3464,1742
100.10000000000001,3,car,2293,1914,3523,2143
100.10000000000001,5,person,34,1220,245,1708
100.10000000000001,6,person,963,1240,1152,1689
100.10000000000001,7,person,220,1102,369,1420
100.10000000000001,9,person,3604,1176,3704,1431
100.10000000000001,12,car,1857,948,1967,1056
133.46666666666667,1,person,1703,1194,1879,1589
133.46666666666667,2,person,3234,1350,3480,1740
133.46666666666667,3,car,2292,1913,3524,2143
133.46666666666667,5,person,17,1224,235,1703
133.46666666666667,6,person,954,1239,1152,1691
133.46666666666667,7,person,230,1110,389,1424
133.46666666666667,9,person,3606,1176,3706,1431
133.46666666666667,12,car,1857,949,1966,1056
133.46666666666667,18,person,1070,983,1142,1160
133.46666666666667,11,person,3431,1168,3559,1409
166.83333333333334,1,person,1701,1188,1851,1593
166.83333333333334,2,person,3303,1347,3490,1746
166.83333333333334,3,car,2291,1914,3524,2143
166.83333333333334,5,person,4,1225,230,1701
166.83333333333334,6,person,940,1240,1151,1703
166.83333333333334,7,person,227,1114,405,1428
166.83333333333334,9,person,3605,1174,3706,1432
166.83333333333334,12,car,1857,949,1966,1056
166.83333333333334,18,person,1072,982,1142,1159
166.83333333333334,19,person,3692,1152,3787,1417
166.83333333333334,11,person,3432,1165,3553,1411
200.20000000000002,1,person,1697,1192,1812,1594
200.20000000000002,2,person,3322,1347,3491,1743
200.20000000000002,3,car,2291,1914,3525,2143
200.20000000000002,5,person,0,1230,226,1704
200.20000000000002,6,person,921,1240,1149,1701
200.20000000000002,7,person,229,1119,419,1442
200.20000000000002,9,person,3605,1175,3707,1433
200.20000000000002,12,car,1857,949,1966,1056
200.20000000000002,18,person,1072,983,1140,1157
200.20000000000002,19,person,3695,1136,3796,1422
200.20000000000002,11,person,3436,1165,3549,1413
233.56666666666666,1,person,1688,1190,1788,1591
233.56666666666666,2,person,3338,1344,3495,1746
233.56666666666666,3,car,2291,1914,3525,2143
233.56666666666666,5,person,0,1232,226,1704
233.56666666666666,6,person,904,1242,1153,1708
233.56666666666666,7,person,260,1125,424,1444
233.56666666666666,9,person,3606,1175,3707,1433
233.56666666666666,12,car,1857,949,1966,1057
233.56666666666666,18,person,1073,983,1140,1158
233.56666666666666,19,person,3699,1157,3792,1419
233.56666666666666,11,person,3443,1161,3561,1413
266.93333333333334,1,person,1679,1195,1773,1595
266.93333333333334,2,person,3347,1346,3508,1753
266.93333333333334,3,car,2291,1913,3527,2143
266.93333333333334,5,person,0,1239,216,1706
266.93333333333334,6,person,890,1246,1152,1713
266.93333333333334,7,person,259,1126,420,1444
266.93333333333334,9,person,3603,1176,3709,1434
266.93333333333334,12,car,1857,948,1966,1057
266.93333333333334,18,person,1076,983,1142,1159
266.93333333333334,19,person,3700,1152,3792,1418
266.93333333333334,23,person,235,1131,354,1421
266.93333333333334,24,person,1630,1040,1684,1181
300.3,1,person,1669,1195,1766,1597
300.3,2,person,3365,1344,3525,1755
300.3,3,car,2292,1913,3528,2143
300.3,5,person,0,1239,210,1710
300.3,6,person,874,1246,1151,1719
300.3,7,person,247,1127,417,1441
300.3,9,person,3602,1175,3710,1433
300.3,12,car,1857,948,1965,1057
300.3,18,person,1076,983,1142,1160
300.3,19,person,3702,1154,3789,1417
300.3,27,car,2112,1047,2222,1165
333.6666666666667,1,person,1656,1193,1761,1597
333.6666666666667,2,person,3391,1343,3541,1769
333.6666666666667,3,car,2292,1913,3529,2143
333.6666666666667,5,person,0,1240,206,1714
333.6666666666667,6,person,855,1245,1133,1721
333.6666666666667,7,person,249,1126,417,1440
333.6666666666667,9,person,3603,1174,3712,1433
333.6666666666667,12,car,1857,947,1965,1057
333.6666666666667,18,person,1076,984,1141,1160
333.6666666666667,19,person,3703,1172,3794,1417
333.6666666666667,27,car,2104,1043,2221,1164
367.03333333333336,1,person,1628,1189,1757,1599
367.03333333333336,2,person,3407,1343,3574,1777
367.03333333333336,3,car,2292,1912,3531,2143
367.03333333333336,5,person,0,1243,202,1714
367.03333333333336,6,person,835,1246,1119,1721
367.03333333333336,7,person,255,1124,424,1439
367.03333333333336,9,person,3606,1172,3714,1434
367.03333333333336,12,car,1857,948,1965,1057
367.03333333333336,18,person,1078,983,1143,1159
367.03333333333336,19,person,3705,1177,3793,1415
367.03333333333336,27,car,2102,1044,2219,1164
367.03333333333336,30,person,807,1251,1033,1687
367.03333333333336,23,person,249,1131,362,1433
400.40000000000003,1,person,1599,1191,1756,1603
400.40000000000003,2,person,3431,1346,3611,1780
400.40000000000003,3,car,2292,1913,3531,2143
400.40000000000003,5,person,0,1240,196,1717
400.40000000000003,6,person,844,1250,1113,1721
400.40000000000003,7,person,263,1127,417,1440
400.40000000000003,9,person,3608,1174,3714,1435
400.40000000000003,12,car,1857,948,1965,1057
400.40000000000003,18,person,1078,982,1145,1158
400.40000000000003,19,person,3707,1174,3802,1419
400.40000000000003,27,car,2091,1041,2220,1164
400.40000000000003,30,person,801,1253,1039,1686
400.40000000000003,23,person,259,1131,368,1433
433.7666666666667,1,person,1574,1191,1756,1604
433.7666666666667,2,person,3404,1346,3633,1779
433.7666666666667,3,car,2292,1913,3531,2143
433.7666666666667,5,person,0,1237,192,1721
433.7666666666667,6,person,860,1252,1080,1719
433.7666666666667,7,person,281,1130,436,1445
433.7666666666667,9,person,3608,1172,3715,1435
433.7666666666667,12,car,1857,948,1965,1058
433.7666666666667,18,person,1079,982,1146,1158
433.7666666666667,19,person,3708,1175,3804,1417
433.7666666666667,27,car,2094,1041,2221,1164
433.7666666666667,30,person,799,1249,1033,1680
433.7666666666667,32,person,333,1126,441,1444
467.1333333333333,1,person,1559,1197,1757,1604
467.1333333333333,2,person,3444,1349,3642,1778
467.1333333333333,3,car,2292,1913,3533,2144
467.1333333333333,5,person,0,1235,187,1717
467.1333333333333,6,person,874,1260,1069,1725
467.1333333333333,9,person,3606,1173,3717,1434
467.1333333333333,12,car,1857,947,1965,1058
467.1333333333333,18,person,1080,982,1149,1163
467.1333333333333,19,person,3711,1175,3808,1418
467.1333333333333,27,car,2093,1039,2222,1163
467.1333333333333,30,person,788,1248,971,1654
467.1333333333333,32,person,336,1124,446,1435
500.50000000000006,1,person,1546,1199,1755,1603
500.50000000000006,2,person,3468,1354,3645,1778
500.50000000000006,3,car,2292,1914,3533,2144
500.50000000000006,5,person,0,1235,182,1720
500.50000000000006,6,person,815,1252,1033,1725
500.50000000000006,9,person,3605,1173,3715,1433
500.50000000000006,12,car,1857,948,1965,1058
500.50000000000006,18,person,1081,980,1152,1164
500.50000000000006,19,person,3715,1174,3811,1421
500.50000000000006,27,car,2087,1039,2222,1162
500.50000000000006,30,person,784,1242,973,1655
500.50000000000006,32,person,347,1114,456,1428
500.50000000000006,11,person,3426,1166,3529,1408
533.8666666666667,1,person,1541,1213,1755,1602
533.8666666666667,2,person,3493,1352,3650,1779
533.8666666666667,3,car,2292,1914,3532,2143
533.8666666666667,5,person,0,1237,177,1725
533.8666666666667,6,person,799,1252,1006,1725
533.8666666666667,9,person,3605,1174,3714,1436
533.8666666666667,12,car,1857,948,1965,1059
533.8666666666667,18,person,1084,980,1155,1164
533.8666666666667,27,car,2083,1038,2222,1162
533.8666666666667,32,person,360,1120,469,1428
533.8666666666667,11,person,3425,1168,3525,1408
567.2333333333333,1,person,1534,1218,1754,1602
567.2333333333333,2,person,3516,1357,3660,1780
567.2333333333333,3,car,2292,1914,3532,2143
567.2333333333333,5,person,0,1234,176,1729
